MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
HURTO A PERSONAS ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DE AÑO 2022;;;;;;;
ARMAS MEDIO;DEPARTAMENTO ;MUNICIPIO;FECHA  HECHO ;GENERO;*AGRUPA EDAD PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;27/01/2022;FEMENINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;28/01/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;02/02/2022;FEMENINO;ADULTOS;05266000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;03/02/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;10/02/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;16/02/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;26/02/2022;MASCULINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ENVIGADO;28/02/2022;FEMENINO;ADULTOS;05266000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;01/01/2022;FEMENINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;07/01/2022;FEMENINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;14/01/2022;MASCULINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;24/01/2022;MASCULINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;18/02/2022;MASCULINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;19/02/2022;FEMENINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;01/01/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;04/01/2022;MASCULINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;08/01/2022;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;17/01/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;20/01/2022;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;21/01/2022;MASCULINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;22/01/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;23/01/2022;MASCULINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;26/01/2022;MASCULINO;ADULTOS;05360000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;27/01/2022;MASCULINO;ADULTOS;05360000;1
